date,accuracy
1/9/18 0:00,188487.38
1/3/18 0:00,321858.78
1/19/18 0:00,107737
1/21/18 0:00,246207.55
1/6/18 0:00,128551.06
1/14/18 0:00,186708.97
1/30/18 0:00,186706.48
1/4/18 0:00,186723.84
1/29/18 0:00,186699.06
1/5/18 0:00,107825.25
1/10/18 0:00,115112.52
1/2/18 0:00,108553.32
1/19/18 0:00,107737
1/4/18 0:00,186883.16
1/12/18 0:00,224630.77
1/28/18 0:00,179809.72
1/1/18 0:00,186706.48
1/30/18 0:00,186773.34
1/12/18 0:00,188487.38
1/6/18 0:00,111079.19
1/22/18 0:00,109001.22
1/28/18 0:00,101906.61
1/25/18 0:00,338203.78
1/18/18 0:00,189321.34
1/19/18 0:00,186803.31
1/26/18 0:00,138705.48
1/11/18 0:00,162802.31
1/10/18 0:00,206108.77
1/9/18 0:00,188487.38
1/5/18 0:00,117732.86
1/14/18 0:00,186708.97
1/17/18 0:00,188173.9
1/5/18 0:00,186862.52
1/13/18 0:00,121127.664
1/19/18 0:00,107737
1/19/18 0:00,107737
1/9/18 0:00,107796.46
1/21/18 0:00,100239.63
1/11/18 0:00,153460.56
1/5/18 0:00,186819.58
1/4/18 0:00,186852.19
1/11/18 0:00,146641.02
1/5/18 0:00,186794.83
1/13/18 0:00,192300.83
1/6/18 0:00,246721.31
1/13/18 0:00,167816.47
1/14/18 0:00,186708.97
1/27/18 0:00,186944.14
1/30/18 0:00,173404.06
1/12/18 0:00,136093.83
1/3/18 0:00,186792.36
1/6/18 0:00,111080.28
1/30/18 0:00,128403.3
1/4/18 0:00,186701.53
1/26/18 0:00,113239.15
1/26/18 0:00,120779.016
1/5/18 0:00,134292.11
1/19/18 0:00,197559.77
1/13/18 0:00,144032.6
1/12/18 0:00,186699.95
1/11/18 0:00,348192.22
1/11/18 0:00,153460.56
1/30/18 0:00,248998.22
1/2/18 0:00,219149.94
1/19/18 0:00,172598.02
1/12/18 0:00,188487.38
1/27/18 0:00,1562933.5
